Crop Number,Variety,GB Grade,Area (ha),County,Producer,Organic
159833,KING EDWARD,PB,0.15,Ross,Messrs W O Gordon Bindal & Co,No
159834,MARIS PIPER,PB,0.16,Ross,Messrs W O Gordon Bindal & Co,No
159835,CARUSO,PB,0.43,Ross,Solana Seeds United Kingdom Ltd,No
159836,AMANDA,PB,0.33,Ross,Solana Seeds United Kingdom Ltd,No
159837,SH C 1010,PB,0.27,Ross,Stet Potato Ltd,No
159838,EUROSTAR,PB,0.23,Ross,Stet Potato Ltd,No
159839,MELODY,PB,0.23,Ross,Meijer Potato UK,No
159840,VIVALDI,PB,0.17,Ross,HZPC UK Limited,No
159841,MARKIES,PB,0.21,Ross,Agrico UK Ltd,No
159842,GALACTICA,PB,0.21,Ross,IPM Potato Group Ltd,No
159843,BARNA,PB,0.35,Ross,IPM Potato Group Ltd,No
159844,KERR'S PINK,PB,0.15,Ross,Messrs W O Gordon Bindal & Co,No
159845,RAMOS,S,6.1,Ross,Stet Potato Ltd,No
159846,EUROSTAR,S,2.9,Ross,Stet Potato Ltd,No
159847,EUROSTAR,SE,0.9,Ross,Stet Potato Ltd,No
159848,LADY ALICIA,PB,0.36,Ross,Meijer Potato UK,No
159849,CARA,PB,0.35,Ross,IPM Potato Group Ltd,No
159850,ACCORD,PB,0.17,Ross,Meijer Potato UK,No
159851,ACCORD,PB,0.42,Ross,Meijer Potato UK,No
159852,ACCORD,PB,3.46,Ross,Meijer Potato UK,No
159853,GALACTICA,PB,0.89,Ross,IPM Potato Group Ltd,No
159854,VIVALDI,S,2.5,Ross,HZPC UK Limited,No
159855,SH C 1010,S,4.3,Ross,Stet Potato Ltd,No
159856,RAMOS,S,1.7,Ross,Stet Potato Ltd,No
159857,KING EDWARD,S,1.6,Ross,Messrs W O Gordon Bindal & Co,No
159858,KERR'S PINK,S,0.5,Ross,Messrs W O Gordon Bindal & Co,No
159859,BRITISH QUEEN,S,0.4,Ross,Messrs W O Gordon Bindal & Co,No
159860,INNOVATOR,S,1.5,Ross,HZPC UK Limited,No
159884,ROYAL,S,8.8,Ross,McCain Potatoes,No
159885,ROYAL,S,0.7,Ross,McCain Potatoes,No
159886,MARKIES,S,6.1,Ross,Agrico UK Ltd,No
159887,MARKIES,S,0.7,Ross,Agrico UK Ltd,No
159888,MARIS PIPER,S,8,Angus,Hatton Mill Farms,No
159889,MARIS PIPER,S,1.4,Angus,Hatton Mill Farms,No
159890,MARIS PIPER,SE,2.8,Angus,Hatton Mill Farms,No
159891,CARA,S,1,Angus,IPM Potato Group Ltd,No
159892,RED CARA,S,0.7,Angus,IPM Potato Group Ltd,No
159894,ORLA,S,0.5,Angus,IPM Potato Group Ltd,No
159895,MARKIES,SE,0.6,Angus,Agrico UK Ltd,No
159896,RED CARA,SE,3.8,Angus,IPM Potato Group Ltd,No
159897,MARIS PEER,S,2.8,Angus,Hatton Mill Farms,No
159898,MARIS PIPER,S,7.3,Angus,Hatton Mill Farms,No
159899,CARA,SE,6.5,Angus,IPM Potato Group Ltd,No
159900,MARKIES,S,4.9,Angus,Agrico UK Ltd,No
159902,ORLA,SE,2,Angus,IPM Potato Group Ltd,No
159903,MARKIES,S,1.6,Fife,Agrico UK Ltd,No
159904,MARKIES,S,9.8,Fife,Agrico UK Ltd,No
159905,MARKIES,S,2.9,Fife,Agrico UK Ltd,No
159909,INNOVATOR,S,8,Ross,HZPC UK Limited,No
159915,PREMIERE,S,3.8,Ross,McCain Potatoes,No
159916,INNOVATOR,S,0.8,Ross,HZPC UK Limited,No
159917,INNOVATOR,S,0.2,Ross,HZPC UK Limited,No
159918,MARKIES,S,0.1,Ross,Agrico UK Ltd,No
159922,HERMES,S,3.2,Angus,A & J Steel,No
159923,SLANEY,SE,1.6,Angus,IPM Potato Group Ltd,No
159924,CARA,S,1.8,Angus,Strathmore Potatoes Ltd,No
159925,CARA,S,0.4,Angus,Strathmore Potatoes Ltd,No
159926,CARA,S,1.6,Angus,Strathmore Potatoes Ltd,No
159927,SLANEY,SE,2,Angus,IPM Potato Group Ltd,No
159928,SLANEY,S,0.7,Angus,IPM Potato Group Ltd,No
159929,HERMES,S,1.2,Angus,A & J Steel,No
159930,MARIS PIPER,SE,7.1,Angus,J & W J Lamb,No
159931,HERMES,S,0.8,Angus,A & J Steel,No
159932,MARIS PIPER,S,1.8,Angus,J & W J Lamb,No
159933,MARIS PIPER,SE,6.7,Angus,J & W J Lamb,No
159945,MARIS PIPER,SE,7.7,Perth,Stark Potatoes Ltd,No
159953,RAMOS,S,4.6,Ross,Stet Potato Ltd,No
159993,ARSENAL,S,1,Angus,Agrico UK Ltd,No
159994,ARSENAL,S,4.5,Angus,Agrico UK Ltd,No
159995,PICASSO,S,4.4,Angus,Agrico UK Ltd,No
159996,PICASSO,S,0.9,Angus,Agrico UK Ltd,No
159997,MARKIES,S,1,Angus,Agrico UK Ltd,No
159999,MARKIES,S,4.8,Angus,Agrico UK Ltd,No
160000,PICASSO,S,2.4,Angus,Agrico UK Ltd,No
160002,MANITOU,S,0.9,Angus,Agrico UK Ltd,No
160003,MANITOU,S,5.8,Angus,Agrico UK Ltd,No
160004,ARSENAL,S,1.1,Angus,Agrico UK Ltd,No
160007,GALACTICA,S,0.8,Angus,IPM Potato Group Ltd,No
160008,GALACTICA,SE,4,Angus,IPM Potato Group Ltd,No
160009,NECTAR,S,1,Angus,IPM Potato Group Ltd,No
160010,NECTAR,SE,5,Angus,IPM Potato Group Ltd,No
160011,VANILLA,S,0.6,Angus,IPM Potato Group Ltd,No
160012,VANILLA,SE,2.7,Angus,IPM Potato Group Ltd,No
160013,BARNA,S,0.7,Angus,IPM Potato Group Ltd,No
160015,BARNA,SE,5.5,Angus,IPM Potato Group Ltd,No
160017,LANORMA,S,2.8,Angus,Branston Ltd,No
160018,LANORMA,S,2.8,Angus,Branston Ltd,No
160019,LANORMA,S,4.2,Angus,Branston Ltd,No
160021,HERMES,E,4.1,Angus,John Jackson,No
160022,SLANEY,SE,2.5,Angus,IPM Potato Group Ltd,No
160023,HERMES,SE,3.8,Angus,John Jackson,No
160024,DESIREE,SE,2.1,Angus,John Jackson,No
160025,DESIREE,E,4,Aberdeen,J S M Kellas (A Firm),No
160026,RECORD,E,0.2,Aberdeen,J S M Kellas (A Firm),No
160027,CALEDONIAN ROSE,S,2,Angus,Caledonia Potatoes Ltd,No
160028,DESIREE,SE,1.6,Angus,John Jackson,No
160029,KING EDWARD,S,5.8,Angus,A & F Growers,No
160030,DESIREE,S,4.3,Angus,A & F Growers,No
160031,MARIS PEER,S,1.3,Angus,A & F Growers,No
160032,CARA,S,4.1,Angus,Strathmore Potatoes Ltd,No
160033,MARIS PEER,SE,5,Angus,A & F Growers,No
160034,MARIS PIPER,SE,1.4,Angus,John Jackson,No
160035,MARIS PIPER,S,3.4,Angus,A & F Growers,No
160036,CARA,SE,5,Angus,A & F Growers,No
160037,NECTAR,SE,1.7,Angus,IPM Potato Group Ltd,No
160038,DESIREE,S,3,Angus,A & F Growers,No
160039,MARIS PIPER,S,3.2,Angus,A & F Growers,No
160040,MARIS PIPER,S,1.4,Angus,A & F Growers,No
160041,HERMES,S,1.1,Angus,A & F Growers,No
160042,NECTAR,S,0.5,Angus,IPM Potato Group Ltd,No
160043,MARIS PIPER,S,0.2,Angus,John Jackson,No
160044,HERMES,S,6.2,Angus,A & F Growers,No
160045,DESIREE,S,2.7,Angus,A & F Growers,No
160046,CARA,S,0.4,Angus,Strathmore Potatoes Ltd,No
160047,NECTAR,SE,1.8,Angus,IPM Potato Group Ltd,No
160048,GALACTICA,S,0.5,Angus,IPM Potato Group Ltd,No
160049,SLANEY,S,0.6,Angus,IPM Potato Group Ltd,No
160050,GALACTICA,SE,2.4,Angus,IPM Potato Group Ltd,No
160052,CARA,S,0.4,Angus,John Jackson,No
160053,RED CARA,SE,2.2,Angus,IPM Potato Group Ltd,No
160054,RED CARA,S,0.8,Angus,IPM Potato Group Ltd,No
160055,RED CARA,SE,1.5,Angus,IPM Potato Group Ltd,No
160056,SLANEY,SE,1.1,Angus,IPM Potato Group Ltd,No
160057,DESIREE,SE,0.8,Angus,John Jackson,No
160058,MARIS PIPER,SE,3.7,Angus,H & M Morison,No
160059,MARIS PIPER,SE,1,Angus,John Jackson,No
160060,CARA,SE,4.5,Angus,John Jackson,No
160061,DESIREE,S,0.4,Angus,John Jackson,No
160062,HERMES,S,1,Angus,John Jackson,No
160063,CARA,SE,1.7,Angus,John Jackson,No
160064,HERMES,E,1.2,Angus,John Jackson,No
160065,KING RUSSET,S,2.9,Ross,McCain Potatoes,No
160066,VIVALDI,S,1.7,Ross,HZPC UK Limited,No
160070,PICASSO,SE,0.7,Aberdeen,Agrico UK Ltd,No
160071,PICASSO,SE,4.5,Aberdeen,Agrico UK Ltd,No
160089,HERMES,S,5.3,Perth,W Y Smith & Sons,No
160091,HERMES,S,3,Perth,W Y Smith & Sons,No
160092,ROYAL,S,6.5,Perth,McCain Potatoes,No
160096,LADY ROSETTA,S,3.2,Perth,Meijer Potato UK,No
160097,LADY ROSETTA,S,4,Perth,Meijer Potato UK,No
160099,ROYAL,S,5.1,Perth,McCain Potatoes,No
160101,MARFONA,S,0.8,Perth,Agrico UK Ltd,No
160102,MANITOU,S,0.6,Perth,Agrico UK Ltd,No
160103,CARA,S,0.8,Perth,IPM Potato Group Ltd,No
160104,HERMES,S,2.4,Perth,W Y Smith & Sons,No
160105,ROOSTER,S,0.8,Perth,IPM Potato Group Ltd,No
160106,LADY ROSETTA,S,2,Perth,Meijer Potato UK,No
160107,ROOSTER,SE,4,Perth,IPM Potato Group Ltd,No
160108,MARKIES,S,5.3,Angus,Agrico UK Ltd,No
160109,INNOVATOR,S,2,Perth,McCain Potatoes,No
160110,MARKIES,S,1.4,Angus,Agrico UK Ltd,No
160111,MARKIES,SE,7,Angus,Agrico UK Ltd,No
160112,CARA,SE,1,Perth,IPM Potato Group Ltd,No
160113,MARKIES,SE,6.3,Angus,Agrico UK Ltd,No
160114,KINGSMAN,S,4,Perth,Cygnet Potato Breeders Ltd,No
160115,CARA,SE,0.3,Perth,IPM Potato Group Ltd,No
160116,HERMES,S,4.8,Perth,W Y Smith & Sons,No
160117,INNOVATOR,S,1.2,Perth,McCain Potatoes,No
160118,MANITOU,S,4.1,Perth,Agrico UK Ltd,No
160119,HERMES,S,4.1,Perth,W Y Smith & Sons,No
160120,LADY ROSETTA,S,1.7,Perth,Meijer Potato UK,No
160121,CARA,SE,3.1,Perth,IPM Potato Group Ltd,No
160124,MARFONA,S,3.4,Perth,Agrico UK Ltd,No
160126,SHEPODY,S,3.8,Ross,McCain Potatoes,No
160127,INNOVATOR,S,4.8,Ross,McCain Potatoes,No
160128,SHEPODY,S,4.2,Ross,McCain Potatoes,No
160129,TAURUS,PB,0.47,Ross,HZPC UK Limited,No
160130,SAGITTA,PB,0.8,Ross,HZPC UK Limited,No
160131,MELODY,PB,2.64,Ross,Meijer Potato UK,No
160132,VIVALDI,PB,0.54,Ross,HZPC UK Limited,No
160133,JAZZY,PB,2.48,Ross,Meijer Potato UK,No
160134,PENTLAND DELL,PB,0.21,Ross,McCain Potatoes,No
160135,ATHLETE,PB,0.23,Ross,Agrico UK Ltd,No
160136,TRIPLE7,PB,0.1,Ross,HZPC UK Limited,No
160137,MELODY,PB,1.82,Ross,Meijer Potato UK,No
160138,JAZZY,PB,1.72,Ross,Meijer Potato UK,No
160139,SAGITTA,PB,6.12,Ross,HZPC UK Limited,No
160140,CARA,S,2.2,Perth,Thomas Clark & Sons,No
160141,SHEPODY,PB,0.87,Ross,McCain Potatoes,No
160142,CARA,S,3.8,Perth,Thomas Clark & Sons,No
160143,IVORY RUSSET,PB,0.78,Ross,HZPC UK Limited,No
160144,INNOVATOR,PB,0.9,Ross,McCain Potatoes,No
160145,LADY ROSETTA,PB,2.18,Ross,Meijer Potato UK,No
160146,TAURUS,PB,5.8,Ross,HZPC UK Limited,No
160147,CARA,SE,3.5,Perth,Thomas Clark & Sons,No
160148,LADY CLAIRE,PB,1.12,Ross,Meijer Potato UK,No
160149,ROYAL,S,4.2,Ross,McCain Potatoes,No
160150,MARIS PEER,S,1.8,Perth,Thomas Clark & Sons,No
160151,JAZZY,PB,3.6,Ross,Meijer Potato UK,No
160152,MARIS PEER,S,3.5,Perth,Thomas Clark & Sons,No
160153,PENTLAND DELL,S,2.9,Ross,McCain Potatoes,No
160154,CARA,SE,0.6,Perth,Thomas Clark & Sons,No
160155,KING EDWARD,S,6.8,Perth,Thomas Clark & Sons,No
160156,KING EDWARD,S,3.5,Perth,Thomas Clark & Sons,No
160157,KING EDWARD,S,1.7,Perth,Thomas Clark & Sons,No
160158,MARIS PIPER,S,1.7,Perth,Thomas Clark & Sons,No
160159,MARIS PIPER,S,7.2,Perth,Thomas Clark & Sons,No
160160,HERMES,SE,4.3,Perth,Thomas Clark & Sons,No
160161,HERMES,S,3.7,Perth,Thomas Clark & Sons,No
160162,TAURUS,PB,0.8,Ross,HZPC UK Limited,No
160163,INNOVATOR,PB,0.28,Ross,McCain Potatoes,No
160164,KING RUSSET,PB,0.94,Ross,McCain Potatoes,No
160165,IVORY RUSSET,PB,0.53,Ross,HZPC UK Limited,No
160166,ROYAL,S,1.1,Ross,McCain Potatoes,No
160167,INNOVATOR,S,5,Ross,McCain Potatoes,No
160168,ATHLETE,PB,1.3,Ross,Agrico UK Ltd,No
160169,JAZZY,PB,0.54,Ross,Meijer Potato UK,No
160170,LAURA,PB,0.37,Ross,Branston Ltd,No
160171,MARIS PIPER,PB,0.23,Ross,Highland Potatoes Ltd,No
160173,SHEPODY,S,6.3,Ross,McCain Potatoes,No
160174,DAISY,PB,0.95,Ross,McCain Potatoes,No
160175,ROYAL,PB,0.6,Ross,McCain Potatoes,No
160176,SAPHIRE,PB,0.47,Ross,Stet UK Ltd for Branston Ltd,No
160177,SAPHIRE,PB,0.65,Ross,Stet UK Ltd for Branston Ltd,No
160178,LADY CLAIRE,PB,0.28,Ross,Meijer Potato UK,No
160179,LADY ROSETTA,PB,0.28,Ross,Meijer Potato UK,No
160180,VIVALDI,S,1.2,Ross,HZPC UK Limited,No
160181,DAISY,S,8.1,Ross,McCain Potatoes,No
160182,LADY ROSETTA,S,4.3,Angus,Meijer Potato UK,No
160183,LADY ROSETTA,S,6.7,Angus,Meijer Potato UK,No
160184,LADY ROSETTA,S,1.3,Angus,Meijer Potato UK,No
160185,LADY ROSETTA,S,3.6,Angus,Meijer Potato UK,No
160186,LADY ROSETTA,S,3.6,Angus,Meijer Potato UK,No
160187,LADY ROSETTA,S,2.6,Angus,Meijer Potato UK,No
160188,LADY ROSETTA,S,2.4,Angus,Meijer Potato UK,No
160189,LADY TERRA,S,1.8,Angus,Meijer Potato UK,No
160190,LADY TERRA,S,1.9,Angus,Meijer Potato UK,No
160191,LADY TERRA,S,0.9,Angus,Meijer Potato UK,No
160192,BURREN,S,0.7,Angus,IPM Potato Group Ltd,No
160193,BURREN,SE,4.1,Angus,IPM Potato Group Ltd,No
160194,ELECTRA,S,2.6,Angus,IPM Potato Group Ltd,No
160195,TRIPLE7,PB,0.52,Ross,HZPC UK Limited,No
160196,IVORY RUSSET,PB,0.31,Ross,HZPC UK Limited,No
160197,SHEPODY,PB,0.1,Ross,McCain Potatoes,No
160198,PENTLAND DELL,PB,0.04,Ross,McCain Potatoes,No
160199,ROYAL,PB,0.08,Ross,McCain Potatoes,No
160200,DAISY,PB,0.2,Ross,McCain Potatoes,No
160201,KING RUSSET,PB,0.09,Ross,McCain Potatoes,No
160202,SAPHIRE,PB,0.03,Ross,Stet UK Ltd for Branston Ltd,No
160203,DAISY,PB,0.04,Ross,WCM Ltd for Germicopa UK Ltd,No
160204,ATHLETE,PB,0.02,Ross,Agrico UK Ltd,No
160205,INNOVATOR,S,0.3,Ross,McCain Potatoes,No
160208,MARIS PIPER,PB,0.03,Ross,Highland Potatoes Ltd,No
160209,LADY ROSETTA,S,0.1,Angus,Meijer Potato UK,No
160210,LADY ROSETTA,S,1.1,Angus,Meijer Potato UK,No
160211,LADY ROSETTA,S,3.3,Angus,Meijer Potato UK,No
160212,PENTLAND DELL,S,10,Angus,Robert Watson & Sons,No
160213,PENTLAND DELL,S,2,Angus,Robert Watson & Sons,No
160214,PENTLAND DELL,SE,8,Angus,Robert Watson & Sons,No
160235,JACKY,PB,0.26,Ross,Agrico UK Ltd,No
160236,JACKY,PB,0.03,Ross,Agrico UK Ltd,No
160237,LAURA,PB,0.12,Ross,Branston Ltd,No
160238,MARIS PIPER,S,4,Angus,Robert Fleming & Co,No
160239,HERMES,SE,11.5,Angus,IPM Potato Group Ltd,No
160240,CARA,SE,17.8,Kincardine,IPM Potato Group Ltd,No
160241,CARA,SE,6.5,Angus,IPM Potato Group Ltd,No
160242,CARA,SE,2.4,Angus,IPM Potato Group Ltd,No
160243,LADY ROSETTA,S,9.9,Perth,Meijer Potato UK,No
160244,CARA,SE,2.7,Kincardine,IPM Potato Group Ltd,No
160246,MARIS PEER,S,2.8,Perth,G L Smith & Son,No
160247,CARA,SE,7.5,Kincardine,IPM Potato Group Ltd,No
160249,ROOSTER,SE,4,Perth,IPM Potato Group Ltd,No
160250,MARIS PIPER,S,4.8,Perth,G L Smith & Son,No
160251,LADY ROSETTA,S,7.1,Perth,Meijer Potato UK,No
160252,HERMES,S,3.5,Kincardine,IPM Potato Group Ltd,No
160253,LADY ROSETTA,S,3.2,Perth,Meijer Potato UK,No
160254,HERMES,SE,1.5,Kincardine,IPM Potato Group Ltd,No
160255,FANDANGO,S,1,Kincardine,IPM Potato Group Ltd,No
160256,FANDANGO,SE,4.8,Kincardine,IPM Potato Group Ltd,No
160257,HERMES,SE,8.5,Angus,IPM Potato Group Ltd,No
160258,CARA,S,1.9,Angus,IPM Potato Group Ltd,No
160259,CARA,S,1.9,Angus,IPM Potato Group Ltd,No
160264,BABY LOU,S,1.2,Perth,Solana Seeds United Kingdom Ltd,No
160265,ARSENAL,S,0.9,Angus,Agrico UK Ltd,No
160266,ARSENAL,S,3.1,Angus,Agrico UK Ltd,No
160267,ARSENAL,S,2.8,Angus,Agrico UK Ltd,No
160269,HERMES,S,10.8,Perth,G L Smith & Son,No
160270,MARIS PIPER,SE,12,Perth,G L Smith & Son,No
160271,HERMES,S,4.4,Perth,G L Smith & Son,No
160272,INNOVATOR,S,8.8,Perth,HZPC UK Limited,No
160273,INNOVATOR,S,3.6,Perth,HZPC UK Limited,No
160274,INNOVATOR,S,1.5,Perth,HZPC UK Limited,No
160275,ROYAL,S,3.7,Perth,McCain Potatoes,No
160276,MARIS PIPER,SE,3,Perth,G L Smith & Son,No
160277,HERMES,S,1,Perth,G L Smith & Son,No
160278,MARIS PIPER,S,7,Perth,G L Smith & Son,No
160279,MARIS PIPER,S,3.2,Perth,G L Smith & Son,No
160280,MARKIES,S,5.1,Perth,Agrico UK Ltd,No
160281,MARKIES,SE,1.3,Perth,Agrico UK Ltd,No
160282,FONTANE,S,0.7,Perth,Agrico UK Ltd,No
160283,FONTANE,SE,3.7,Perth,Agrico UK Ltd,No
160284,PICASSO,S,0.6,Perth,Agrico UK Ltd,No
160285,PICASSO,S,2.3,Perth,Agrico UK Ltd,No
160286,MELODY,PB,0.26,Ross,Meijer Potato UK,No
160287,JAZZY,PB,0.2,Ross,Meijer Potato UK,No
160288,LADY CLAIRE,PB,0.2,Ross,Meijer Potato UK,No
160289,MARKIES,S,0.9,Perth,Agrico UK Ltd,No
160290,LADY ALICIA,PB,0.13,Ross,Meijer Potato UK,No
160291,LADY ROSETTA,PB,0.26,Ross,Meijer Potato UK,No
160292,MARKIES,SE,0.4,Perth,Agrico UK Ltd,No
160293,LADY ALICIA,PB,1.38,Ross,Meijer Potato UK,No
160294,ROOSTER,S,0.7,Perth,IPM Potato Group Ltd,No
160295,HERMES,S,2.6,Perth,G L Smith & Son,No
160296,INNOVATOR,S,12,Perth,HZPC UK Limited,No
160297,ROYAL,S,6.5,Perth,McCain Potatoes,No
160298,MARIS PEER,S,3.4,Perth,G L Smith & Son,No
160299,MARIS PIPER,S,6,Perth,G L Smith & Son,No
160300,HERMES,S,2,Perth,G L Smith & Son,No
160302,VIVALDI,S,4.4,Sutherland,HZPC UK Limited,No
160303,VIVALDI,S,5,Sutherland,HZPC UK Limited,No
160304,EUROSTAR,S,1.6,Sutherland,Stet Potato Ltd,No
160308,HERMES,S,0.1,Kincardine,The Firm of D M Cargill,No
160309,DUNBAR STANDARD,S,0.1,Dumfries,J U McKeen,No
160310,SPUNTA,S,0.1,Kincardine,The Firm of D M Cargill,No
160329,ROYAL,S,4,Angus,McCain Potatoes,No
160330,ROYAL,S,0.7,Angus,McCain Potatoes,No
160331,MANHATTAN,S,3.8,Angus,Cygnet Potato Breeders Ltd,No
160332,ELLAND,S,4.7,Angus,Cygnet Potato Breeders Ltd,No
160333,GEMSON,S,3,Angus,Grampian Growers,No
160334,GEMSON,S,0.5,Angus,Grampian Growers,No
160335,RED CARA,SE,6,Angus,IPM Potato Group Ltd,No
160336,RED CARA,S,1,Angus,IPM Potato Group Ltd,No
160337,ELECTRA,S,0.3,Angus,IPM Potato Group Ltd,No
160338,INNOVATOR,S,1.2,Angus,McCain Potatoes,No
160339,ELECTRA,SE,2,Angus,IPM Potato Group Ltd,No
160340,INNOVATOR,S,0.4,Angus,McCain Potatoes,No
160341,MARIS PIPER,SE,2.1,Angus,T H Lawson & Sons,No
160342,MARIS PIPER,S,0.4,Angus,T H Lawson & Sons,No
160343,INNOVATOR,S,5.3,Angus,McCain Potatoes,No
160344,MARIS PIPER,S,14,Angus,Vinny Farms Ltd,No
160345,MARIS PIPER,SE,1,Angus,T H Lawson & Sons,No
160346,CARA,S,0.5,Angus,Grampian Growers,No
160347,MARIS PIPER,S,9,Angus,Vinny Farms Ltd,No
