Variety,GB Grade,Area (hectare),County,Producer
KING EDWARD,PB,0.15,Ross,Messrs W O Gordon Bindal & Co
MARIS PIPER,PB,0.16,Ross,Messrs W O Gordon Bindal & Co
CARUSO,PB,0.43,Ross,Solana Seeds United Kingdom Ltd
AMANDA,PB,0.33,Ross,Solana Seeds United Kingdom Ltd
SH C 1010,PB,0.27,Ross,Stet Potato Ltd
EUROSTAR,PB,0.23,Ross,Stet Potato Ltd
MELODY,PB,0.23,Ross,Meijer Potato UK
VIVALDI,PB,0.17,Ross,HZPC UK Limited
MARKIES,PB,0.21,Ross,Agrico UK Ltd
GALACTICA,PB,0.21,Ross,IPM Potato Group Ltd
BARNA,PB,0.35,Ross,IPM Potato Group Ltd
KERR'S PINK,PB,0.15,Ross,Messrs W O Gordon Bindal & Co
RAMOS,S,6.1,Ross,Stet Potato Ltd
EUROSTAR,S,2.9,Ross,Stet Potato Ltd
EUROSTAR,SE,0.9,Ross,Stet Potato Ltd
LADY ALICIA,PB,0.36,Ross,Meijer Potato UK
CARA,PB,0.35,Ross,IPM Potato Group Ltd
ACCORD,PB,0.17,Ross,Meijer Potato UK
ACCORD,PB,0.42,Ross,Meijer Potato UK
ACCORD,PB,3.46,Ross,Meijer Potato UK
GALACTICA,PB,0.89,Ross,IPM Potato Group Ltd
VIVALDI,S,2.5,Ross,HZPC UK Limited
SH C 1010,S,4.3,Ross,Stet Potato Ltd
RAMOS,S,1.7,Ross,Stet Potato Ltd
KING EDWARD,S,1.6,Ross,Messrs W O Gordon Bindal & Co
KERR'S PINK,S,0.5,Ross,Messrs W O Gordon Bindal & Co
BRITISH QUEEN,S,0.4,Ross,Messrs W O Gordon Bindal & Co
INNOVATOR,S,1.5,Ross,HZPC UK Limited
ROYAL,S,8.8,Ross,McCain Potatoes
ROYAL,S,0.7,Ross,McCain Potatoes
MARKIES,S,6.1,Ross,Agrico UK Ltd
MARKIES,S,0.7,Ross,Agrico UK Ltd
MARIS PIPER,S,8,Angus,Hatton Mill Farms
MARIS PIPER,S,1.4,Angus,Hatton Mill Farms
MARIS PIPER,SE,2.8,Angus,Hatton Mill Farms
CARA,S,1,Angus,IPM Potato Group Ltd
RED CARA,S,0.7,Angus,IPM Potato Group Ltd
ORLA,S,0.5,Angus,IPM Potato Group Ltd
MARKIES,SE,0.6,Angus,Agrico UK Ltd
RED CARA,SE,3.8,Angus,IPM Potato Group Ltd
MARIS PEER,S,2.8,Angus,Hatton Mill Farms
MARIS PIPER,S,7.3,Angus,Hatton Mill Farms
CARA,SE,6.5,Angus,IPM Potato Group Ltd
MARKIES,S,4.9,Angus,Agrico UK Ltd
ORLA,SE,2,Angus,IPM Potato Group Ltd
MARKIES,S,1.6,Fife,Agrico UK Ltd
MARKIES,S,9.8,Fife,Agrico UK Ltd
MARKIES,S,2.9,Fife,Agrico UK Ltd
INNOVATOR,S,8,Ross,HZPC UK Limited
PREMIERE,S,3.8,Ross,McCain Potatoes
INNOVATOR,S,0.8,Ross,HZPC UK Limited
INNOVATOR,S,0.2,Ross,HZPC UK Limited
MARKIES,S,0.1,Ross,Agrico UK Ltd
HERMES,S,3.2,Angus,A & J Steel
SLANEY,SE,1.6,Angus,IPM Potato Group Ltd
CARA,S,1.8,Angus,Strathmore Potatoes Ltd
CARA,S,0.4,Angus,Strathmore Potatoes Ltd
CARA,S,1.6,Angus,Strathmore Potatoes Ltd
SLANEY,SE,2,Angus,IPM Potato Group Ltd
SLANEY,S,0.7,Angus,IPM Potato Group Ltd
HERMES,S,1.2,Angus,A & J Steel
MARIS PIPER,SE,7.1,Angus,J & W J Lamb
HERMES,S,0.8,Angus,A & J Steel
MARIS PIPER,S,1.8,Angus,J & W J Lamb
MARIS PIPER,SE,6.7,Angus,J & W J Lamb
MARIS PIPER,SE,7.7,Perth,Stark Potatoes Ltd
RAMOS,S,4.6,Ross,Stet Potato Ltd
ARSENAL,S,1,Angus,Agrico UK Ltd
ARSENAL,S,4.5,Angus,Agrico UK Ltd
PICASSO,S,4.4,Angus,Agrico UK Ltd
PICASSO,S,0.9,Angus,Agrico UK Ltd
MARKIES,S,1,Angus,Agrico UK Ltd
MARKIES,S,4.8,Angus,Agrico UK Ltd
PICASSO,S,2.4,Angus,Agrico UK Ltd
MANITOU,S,0.9,Angus,Agrico UK Ltd
MANITOU,S,5.8,Angus,Agrico UK Ltd
ARSENAL,S,1.1,Angus,Agrico UK Ltd
GALACTICA,S,0.8,Angus,IPM Potato Group Ltd
GALACTICA,SE,4,Angus,IPM Potato Group Ltd
NECTAR,S,1,Angus,IPM Potato Group Ltd
NECTAR,SE,5,Angus,IPM Potato Group Ltd
VANILLA,S,0.6,Angus,IPM Potato Group Ltd
VANILLA,SE,2.7,Angus,IPM Potato Group Ltd
BARNA,S,0.7,Angus,IPM Potato Group Ltd
BARNA,SE,5.5,Angus,IPM Potato Group Ltd
LANORMA,S,2.8,Angus,Branston Ltd
LANORMA,S,2.8,Angus,Branston Ltd
LANORMA,S,4.2,Angus,Branston Ltd
HERMES,E,4.1,Angus,John Jackson
SLANEY,SE,2.5,Angus,IPM Potato Group Ltd
HERMES,SE,3.8,Angus,John Jackson
DESIREE,SE,2.1,Angus,John Jackson
DESIREE,E,4,Aberdeen,J S M Kellas (A Firm)
RECORD,E,0.2,Aberdeen,J S M Kellas (A Firm)
CALEDONIAN ROSE,S,2,Angus,Caledonia Potatoes Ltd
DESIREE,SE,1.6,Angus,John Jackson
KING EDWARD,S,5.8,Angus,A & F Growers
DESIREE,S,4.3,Angus,A & F Growers
MARIS PEER,S,1.3,Angus,A & F Growers
CARA,S,4.1,Angus,Strathmore Potatoes Ltd
MARIS PEER,SE,5,Angus,A & F Growers
MARIS PIPER,SE,1.4,Angus,John Jackson
MARIS PIPER,S,3.4,Angus,A & F Growers
CARA,SE,5,Angus,A & F Growers
NECTAR,SE,1.7,Angus,IPM Potato Group Ltd
DESIREE,S,3,Angus,A & F Growers
MARIS PIPER,S,3.2,Angus,A & F Growers
MARIS PIPER,S,1.4,Angus,A & F Growers
HERMES,S,1.1,Angus,A & F Growers
NECTAR,S,0.5,Angus,IPM Potato Group Ltd
MARIS PIPER,S,0.2,Angus,John Jackson
HERMES,S,6.2,Angus,A & F Growers
DESIREE,S,2.7,Angus,A & F Growers
CARA,S,0.4,Angus,Strathmore Potatoes Ltd
NECTAR,SE,1.8,Angus,IPM Potato Group Ltd
GALACTICA,S,0.5,Angus,IPM Potato Group Ltd
SLANEY,S,0.6,Angus,IPM Potato Group Ltd
GALACTICA,SE,2.4,Angus,IPM Potato Group Ltd
CARA,S,0.4,Angus,John Jackson
RED CARA,SE,2.2,Angus,IPM Potato Group Ltd
RED CARA,S,0.8,Angus,IPM Potato Group Ltd
RED CARA,SE,1.5,Angus,IPM Potato Group Ltd
SLANEY,SE,1.1,Angus,IPM Potato Group Ltd
DESIREE,SE,0.8,Angus,John Jackson
MARIS PIPER,SE,3.7,Angus,H & M Morison
MARIS PIPER,SE,1,Angus,John Jackson
CARA,SE,4.5,Angus,John Jackson
DESIREE,S,0.4,Angus,John Jackson
HERMES,S,1,Angus,John Jackson
CARA,SE,1.7,Angus,John Jackson
HERMES,E,1.2,Angus,John Jackson
KING RUSSET,S,2.9,Ross,McCain Potatoes
VIVALDI,S,1.7,Ross,HZPC UK Limited
PICASSO,SE,0.7,Aberdeen,Agrico UK Ltd
PICASSO,SE,4.5,Aberdeen,Agrico UK Ltd
HERMES,S,5.3,Perth,W Y Smith & Sons
HERMES,S,3,Perth,W Y Smith & Sons
ROYAL,S,6.5,Perth,McCain Potatoes
LADY ROSETTA,S,3.2,Perth,Meijer Potato UK
LADY ROSETTA,S,4,Perth,Meijer Potato UK
ROYAL,S,5.1,Perth,McCain Potatoes
MARFONA,S,0.8,Perth,Agrico UK Ltd
MANITOU,S,0.6,Perth,Agrico UK Ltd
CARA,S,0.8,Perth,IPM Potato Group Ltd
HERMES,S,2.4,Perth,W Y Smith & Sons
ROOSTER,S,0.8,Perth,IPM Potato Group Ltd
LADY ROSETTA,S,2,Perth,Meijer Potato UK
ROOSTER,SE,4,Perth,IPM Potato Group Ltd
MARKIES,S,5.3,Angus,Agrico UK Ltd
INNOVATOR,S,2,Perth,McCain Potatoes
MARKIES,S,1.4,Angus,Agrico UK Ltd
